"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"COM00080110","OLAYA HERRERA CO","1958-01-02",,"24.3","32.2",
"COM00080110","OLAYA HERRERA CO","1958-01-03",,"23.8","28.9",
"COM00080110","OLAYA HERRERA CO","1958-01-05",,"25.3","31.1",
"COM00080110","OLAYA HERRERA CO","1958-01-06",,"23.9","32.8","16.1"
"COM00080110","OLAYA HERRERA CO","1958-01-07",,"23.1","26.1","16.1"
"COM00080110","OLAYA HERRERA CO","1958-01-08",,"21.7","27.2","17.8"
"COM00080110","OLAYA HERRERA CO","1958-01-10",,"24.9","28.9","17.2"
"COM00080110","OLAYA HERRERA CO","1958-01-11",,"24.4","32.2","17.8" 
"COM00080110","OLAYA HERRERA CO","1958-01-12",,"24.7",,"15.0"
"COM00080110","OLAYA HERRERA CO","1958-01-14",,"25.2","30.0","17.2"
"COM00080110","OLAYA HERRERA CO","1958-01-15",,"24.7","30.0","17.2"
"COM00080110","OLAYA HERRERA CO","1958-01-16",,"22.9","31.1","16.1"
"COM00080110","OLAYA HERRERA CO","1958-01-17",,"22.2","27.8","16.1"
"COM00080110","OLAYA HERRERA CO","1958-01-20",,"25.2","30.0","12.8"
"COM00080110","OLAYA HERRERA CO","1958-01-21",,"24.9","32.2","12.8"
"COM00080110","OLAYA HERRERA CO","1958-01-22",,"25.3","30.0","16.1"
"COM00080110","OLAYA HERRERA CO","1958-01-23",,"23.5","28.9","16.1"
"COM00080110","OLAYA HERRERA CO","1958-01-24",,"22.8","27.8","15.0"
"COM00080110","OLAYA HERRERA CO","1958-01-25",,"24.4","30.0","16.1"